,Gene,Change_Magnitude
0,Cage1,0.004251711410779957
1,Wdr82,0.004039666741139425
2,Zfp469,0.003969811813603896
3,Hmgb1,0.003822960212549742
4,Tex261,0.003784052664925208
5,Hgh1,0.003748924608378723
6,Dhtkd1,0.0037362116830076952
7,Tcf4,0.0037268807253851843
8,Coa5,0.003621475943466179
9,Pcx,0.0036196961211496514
10,Fam222a,0.0036111204129337104
11,Las1l,0.003554704094203942
12,Thumpd1,0.0035277833373789647
13,Kdm1a,0.0035214644357974834
14,Gm13205,0.0035079323761055825
15,Adrm1,0.0034692502298676597
16,Zfp629,0.003428105785598934
17,Zeb2,0.0033972269208625283
18,Abcc6,0.003366026589172899
19,Def8,0.0033651642987644337
